No,Informasi,Data Type,length,Sample,scale,DM - Memory,Value
1,NO-MO,ASCII,16,WH/MO/00003,,D6001-6008,WH/MO/00003
2,NO-BoM,ASCII,16,JF SUPER 2A 25,,D6009-6016,JF SUPER 2A 25
3,finished_goods,ASCII,16,JF SUPER 2A 25,,D6017-6024,JF SUPER 2A 25
4,Quantity Goods_id,REAL,5,20000,1.0,D6025,20000
5,SILO ID 101 (SILO BESAR),REAL,3,101,1.0,D6026,101
6,SILO 1 Consumption,REAL,5,14415,10.0,D6027,1441.5
7,SILO ID 102 (SILO BESAR),REAL,3,102,1.0,D6028,102
8,SILO 2 Consumption,REAL,5,20045,10.0,D6029,2004.5
9,SILO ID 3 (SILO BESAR),REAL,3,103,1.0,D6030,103
10,SILO ID 103 Consumption,REAL,5,20045,10.0,D6031,2004.5
11,SILO ID 104,REAL,3,104,1.0,D6032,104
12,SILO ID 104 Consumption,REAL,5,20045,10.0,D6033,2004.5
13,SILO ID 105,REAL,3,105,1.0,D6034,105
14,SILO ID 105 Consumption,REAL,5,20045,10.0,D6035,2004.5
15,SILO ID 106,REAL,3,106,1.0,D6036,106
16,SILO ID 106  Consumption,REAL,5,20045,10.0,D6037,2004.5
17,SILO ID 107,REAL,3,107,1.0,D6038,107
18,SILO ID 107 Consumption,REAL,5,20045,10.0,D6039,2004.5
19,SILO ID 108,REAL,3,108,1.0,D6040,108
20,SILO 108 Consumption,REAL,5,20045,10.0,D6041,2004.5
21,SILO ID 109,REAL,3,109,1.0,D6042,109
22,SILO ID 109 Consumption,REAL,5,20045,10.0,D6043,2004.5
23,SILO ID 110,REAL,3,110,1.0,D6044,110
24,SILO ID 110 Consumption,REAL,5,20045,10.0,D6045,2004.5
25,SILO ID 111,REAL,3,111,1.0,D6046,111
26,SILO ID 111 Consumption,REAL,5,20045,10.0,D6047,2004.5
27,SILO ID 112,REAL,3,112,1.0,D6048,112
28,SILO ID 112 Consumption,REAL,5,20045,10.0,D6049,2004.5
29,SILO ID 113,REAL,3,113,1.0,D6050,113
30,SILO ID 113 Consumption,REAL,5,20045,10.0,D6051,2004.5
31,SILO ID 114,REAL,3,114,1.0,D6052,114
32,SILO ID 114 Consumption,REAL,5,20045,10.0,D6053,2004.5
33,SILO ID 115,REAL,3,115,1.0,D6054,115
34,SILO ID 115 Consumption,REAL,5,20045,10.0,D6055,2004.5
35,status manufaturing,boolean,1,1,,D6056,1
36,Status Operation,boolean,1,1,,D6057,1
37,weight_finished_good,REAL,5,20000,1.0,D6058,20000
